source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135154,https://online.bunka.go.jp/heritages/detail/135154,13Tokyo/raw/national/records.jsonl,緑釉手付瓶/埼玉県大里郡岡部町西浦北遺跡第四号住居跡出土 文化遺産オンライン,,,,,,,,,,national,深谷市,36.19744989,139.28148681,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159521,https://online.bunka.go.jp/heritages/detail/159521,13Tokyo/raw/national/records.jsonl,下野出流原遺跡出土品 文化遺産オンライン,,,,,,,,,,national,明治大学,35.69771686,139.76176465,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,206980,https://online.bunka.go.jp/heritages/detail/206980,13Tokyo/raw/national/records.jsonl,金銅骨蔵器/奈良県北葛城郡当麻町加守出土 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,168855,https://online.bunka.go.jp/heritages/detail/168855,13Tokyo/raw/national/records.jsonl,土偶/宮城県遠田郡田尻町蕪栗恵比須田出土 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,206970,https://online.bunka.go.jp/heritages/detail/206970,13Tokyo/raw/national/records.jsonl,石造須弥山/石造男女像/奈良県髙市郡明日香村飛鳥字石神出土 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,158008,https://online.bunka.go.jp/heritages/detail/158008,13Tokyo/raw/national/records.jsonl,開基勝宝/奈良県奈良市西大寺町(旧畠山)出土 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,168845,https://online.bunka.go.jp/heritages/detail/168845,13Tokyo/raw/national/records.jsonl,神獣鏡/赤鳥元年五月廿五日在銘/山梨県西八代郡三珠町鳥居原狐塚古墳出土 文化遺産オンライン,,,,,,,,,,national,一宮浅間神社,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159501,https://online.bunka.go.jp/heritages/detail/159501,13Tokyo/raw/national/records.jsonl,土製耳飾/東京都調布市布田町下布田遺跡出土 文化遺産オンライン,,,,,,,,,,national,東京都,35.71566044,139.51251054,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,157998,https://online.bunka.go.jp/heritages/detail/157998,13Tokyo/raw/national/records.jsonl,青磁鉢/神奈川県鎌倉市大町衣張山出土 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135307,https://online.bunka.go.jp/heritages/detail/135307,13Tokyo/raw/national/records.jsonl,大和新沢干塚一二六号墳出土品 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
