source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,_designation_reason,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
municipal_source,新宿区,新宿区の文化財一覧,13104:30,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,七人役者図絵馬,,,,,東京都新宿区西新宿二丁目11-2,新宿区,13104,,,ambiguous,,35.69091,139.6882,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:31,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,阿弥陀三尊来迎図(専福寺),,,,,東京都新宿区新宿六丁目20-9,新宿区,13104,,,ambiguous,,35.69754,139.71193,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:32,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,木造阿弥陀如来立像,,,,,東京都新宿区早稲田町77,新宿区,13104,,,ambiguous,,35.70577,139.72383,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:33,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,木造地蔵菩薩坐像,,,,,東京都新宿区袋町15,新宿区,13104,,,ambiguous,,35.7006,139.73819,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:34,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,阿弥陀三尊来迎図(光照寺),,,,,東京都新宿区袋町15,新宿区,13104,,,ambiguous,,35.7006,139.73819,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:35,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,法然上人画像,,,,,東京都新宿区袋町15,新宿区,13104,,,ambiguous,,35.7006,139.73819,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:36,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,西光庵の観無量寿経曼荼羅,,,,,東京都新宿区四谷三栄町12-16(新宿歴史博物館)※新宿区に寄託中,新宿区,13104,,,ambiguous,,35.69006,139.72568,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:37,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,天瑞元堤像 谷文晁筆,,,,,東京都新宿区榎町77,新宿区,13104,,,ambiguous,,35.70661,139.72807,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:38,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,謙堂文益像 谷文晁筆,,,,,東京都新宿区榎町77,新宿区,13104,,,ambiguous,,35.70661,139.72807,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:39,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,八大龍王図 谷文晁筆,,,,,東京都新宿区榎町77,新宿区,13104,,,ambiguous,,35.70661,139.72807,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
