source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
national,文化庁,国指定文化財等データベース CSV export,official_export_001:38,,13Tokyo/raw/national/official_export_001.csv,旧小菅刑務所庁舎,,,,,東京都葛飾区小菅1丁目19番1,葛飾区,13122,国宝・重要文化財(建造物),建造物,national,,35.75851111,139.81570278,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:39,,13Tokyo/raw/national/official_export_001.csv,旧島津家本邸,,,,,東京都品川区東五反田三丁目191番地39,品川区,13109,国宝・重要文化財(建造物),建造物,national,,35.63072694,139.72958889,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:40,,13Tokyo/raw/national/official_export_001.csv,旧島津家本邸,,,,,東京都品川区東五反田三丁目191番地39,品川区,13109,国宝・重要文化財(建造物),建造物,national,,35.63072694,139.72958889,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:41,,13Tokyo/raw/national/official_export_001.csv,旧醸造試験所第一工場,,,,,東京都北区滝野川二丁目六番,北区,13117,国宝・重要文化財(建造物),建造物,national,,35.75039714,139.73502369,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:42,,13Tokyo/raw/national/official_export_001.csv,旧東京科学博物館本館,,,,,東京都台東区上野公園7番20号,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.71638986,139.77640333,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:43,,13Tokyo/raw/national/official_export_001.csv,旧馬場家牛込邸,,,,,東京都新宿区若宮町39番,新宿区,13104,国宝・重要文化財(建造物),建造物,national,,35.6984222,139.73849002,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:44,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66220492,139.68015109,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:45,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.6622192,139.6804747,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:46,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66229058,139.68073644,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:47,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66230248,139.68040569,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:48,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66231676,139.68056988,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:49,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66252765,139.68069854,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:50,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66313053,139.67971089,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:51,,13Tokyo/raw/national/official_export_001.csv,旧前田家本邸,,,,,東京都目黒区駒場四丁目861番,目黒区,13110,国宝・重要文化財(建造物),建造物,national,,35.66314243,139.67980369,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:52,,13Tokyo/raw/national/official_export_001.csv,旧三河島汚水処分場喞筒場施設,,,,,東京都荒川区荒川八丁目25番1号,荒川区,13118,国宝・重要文化財(建造物),建造物,national,,35.73873155,139.7852506,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:53,,13Tokyo/raw/national/official_export_001.csv,清洲橋,,,,,東京都中央区日本橋中洲、江東区清澄,中央区,13102,国宝・重要文化財(建造物),建造物,national,,35.68242422,139.79188213,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:54,,13Tokyo/raw/national/official_export_001.csv,慶応義塾図書館,,,,,東京都港区三田二丁目15番45号,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.64829815,139.74228277,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
