museum_id,facility_name,municipality_code,municipality_name,address_raw,address_normalized,postal_code,latitude,longitude,location_type,address_source_url,source_authority,extraction_method,geocoder,geocode_score,match_level,coordinate_level,coordinate_use,review_status,review_reason,retrieved_at,content_sha256,notes
MUS-9fc5c645bc44,赤十字情報プラザ,13103,港区,東京都港区芝大門1-1-3,東京都港区芝大門1-1-3,,35.659733,139.753326,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-a05dd0225aa2,切手の博物館,13116,豊島区,東京都豊島区目白1-4-23,東京都豊島区目白1-4-23,,35.718384,139.705963,facility_location,https://kitte-museum.jp/guide/access/,facility_official,verified_override,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,施設公式アクセスページで所在地を確認 2026-09-06
MUS-a05fae49039a,21_21 DESIGN SIGHT,13103,港区,東京都港区赤坂9-7-6 東京ミッドタウン ミッドタウン・ガーデン,東京都港区赤坂9-7-6東京ミッドタウンミッドタウン・ガーデン,,35.65807,139.751602,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,machiaza_detail,city,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-a35792eef1c2,たばこと塩の博物館,13107,墨田区,東京都墨田区横川1-16-3,東京都墨田区横川1-16-3,,35.705818,139.809006,facility_location,https://jcsm.jp/list/membership/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-a44cfd6cc5c2,皇居三の丸尚蔵館,13101,千代田区,東京都千代田区千代田1-8 皇居東御苑内,東京都千代田区千代田1-8皇居東御苑内,100-0001,35.686626,139.748642,facility_location,https://shozokan.nich.go.jp/visit/access,national_institution_official,verified_override,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,国立施設公式交通アクセスで所在地を確認 2026-09-06
MUS-a5eeb719597b,味の素グループ 食とくらしの小さな博物館,13103,港区,東京都港区高輪3-13-65,東京都港区高輪3-13-65,,35.63269,139.732971,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-a6d4544423a3,昭和天皇記念館,13202,立川市,東京都立川市緑町3173 花みどり文化センター内,東京都立川市緑町3173花みどり文化センター内,190-0014,35.707447,139.404404,facility_location,https://f-showa.or.jp/museum/,facility_or_public_official,html_text,digital_agency_abr,1,machiaza,machiaza,plateau_query,accepted,,2026-09-06T16:34:45+00:00,09dc0501fdc9c075a7e37c00f2713f02894d83ec2e170d11e8e89169f4afaf2e,address_score=125
MUS-a77d4b366be2,東京家政学院生活文化博物館,13209,町田市,東京都町田市相原町2600,東京都町田市相原町2600,,35.61293,139.30072,facility_location,https://www.kasei-gakuin.ac.jp/campuslife/museum/,facility_or_public_official,html_text,digital_agency_abr,1,machiaza,machiaza,plateau_query,accepted,,2026-09-06T16:34:45+00:00,c0135fa324d5ecd0339abc72c8aff5bfa1aff93700835ef7d20964a5229c5dca,address_score=115
MUS-a7bc9c0ef912,東大和市立郷土博物館,13220,東大和市,東京都東大和市中央3-930,東京都東大和市中央3-930,207-8585,35.745552,139.426147,facility_location,https://www.city.higashiyamato.lg.jp/bunkasports/museum/index.html,facility_or_public_official,html_text,digital_agency_abr,1,parcel,machiaza_detail,plateau_query,accepted,,2026-09-06T16:34:45+00:00,d3bfd6ed7fc3221dd27ccd3e27fc6d22a0fad595900b1bc34816064bb41bd52b,address_score=125
MUS-aa0de6e57507,一般財団法人 千秋文庫,13101,千代田区,東京都千代田区九段南2-1-32,東京都千代田区九段南2-1-32,102-0074,35.692581,139.746307,facility_location,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/06.php,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,c2c55a5bfcbe18fa91da9ba9581dee36fecd7041e31e6c029622f2c066ded511,address_score=90
