record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
131067100116,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,庚申塔,,都心西部直下地震,No data
131067100132,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,大太刀(陰陽丸),6.304,都心西部直下地震,6強以上
131067100134,13106,台東区,Municipal,Other,有形文化財,建造物,building_direct,石造多宝塔,5.962,都心西部直下地震,6弱
131067100146,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,今戸人形の型,,都心西部直下地震,No data
131067100147,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,浅草寺絵馬・扁額群,5.962,都心西部直下地震,6弱
131067100159,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,今戸人形の型(追加),,都心西部直下地震,No data
131067100162,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん(和書),5.998,都心西部直下地震,6弱
131067100163,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん(一枚刷),5.998,都心西部直下地震,6弱
131067100168,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん〔芝居番付類(一枚刷)〕,5.998,都心西部直下地震,6弱
131067100171,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん(古文書),5.998,都心西部直下地震,6弱
131067100174,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん(羽子板),5.998,都心西部直下地震,6弱
131067100178,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん(五月人形),5.998,都心西部直下地震,6弱
131067100181,13106,台東区,Municipal,Other,民俗文化財,有形民俗文化財,point,吉徳これくしょん(雛人形),5.998,都心西部直下地震,6弱
131067100182,13106,台東区,Municipal,Other,記念物,史跡,point,渋沢栄一家墓所,5.856,都心西部直下地震,6弱
131067100187,13106,台東区,Municipal,Other,記念物,史跡,point,徳川家光薨去に伴う殉死者の墓,5.83,都心西部直下地震,6弱
official_export_001:0,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草神社,5.912,都心西部直下地震,6弱
official_export_001:1,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草神社,5.912,都心西部直下地震,6弱
official_export_001:6,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧岩崎家住宅(東京都台東区池之端一丁目),5.86,都心西部直下地震,6弱
official_export_001:7,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧岩崎家住宅(東京都台東区池之端一丁目),5.86,都心西部直下地震,6弱
official_export_001:8,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧岩崎家住宅(東京都台東区池之端一丁目),5.846,都心西部直下地震,6弱
official_export_001:9,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧因州池田屋敷表門,5.8,都心西部直下地震,6弱
official_export_001:21,13106,台東区,National,Designated,有形文化財,建造物,building_direct,寛永寺旧本坊表門(黒門),5.802,都心西部直下地震,6弱
official_export_001:22,13106,台東区,National,Designated,有形文化財,建造物,building_direct,寛永寺清水堂,5.804,都心西部直下地震,6弱
official_export_001:23,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧寛永寺五重塔,5.73,都心西部直下地震,6弱
official_export_001:42,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧東京科学博物館本館,5.785,都心西部直下地震,6弱
official_export_001:56,13106,台東区,National,Designated,有形文化財,建造物,building_direct,厳有院霊廟奥院,5.877,都心西部直下地震,6弱
official_export_001:58,13106,台東区,National,Designated,有形文化財,建造物,building_direct,厳有院霊廟勅額門及び水盤舎,5.858,都心西部直下地震,6弱
official_export_001:59,13106,台東区,National,Designated,有形文化財,建造物,building_direct,厳有院霊廟勅額門及び水盤舎,5.86,都心西部直下地震,6弱
official_export_001:60,13106,台東区,National,Designated,有形文化財,建造物,building_direct,国立西洋美術館本館,5.759,都心西部直下地震,6弱
official_export_001:73,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧十輪院宝蔵,5.823,都心西部直下地震,6弱
official_export_001:74,13106,台東区,National,Designated,有形文化財,建造物,building_direct,常憲院霊廟奥院,5.873,都心西部直下地震,6弱
official_export_001:76,13106,台東区,National,Designated,有形文化財,建造物,building_direct,常憲院霊廟勅額門及び水盤舎,5.873,都心西部直下地震,6弱
