river,municipality_code,municipality_name,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
多摩川,13207,日野市,0,0,0,0,0
多摩川,13207,昭島市,0,1,0,0,1
多摩川,13207,板橋区,0,0,0,0,0
多摩川,13207,江戸川区,0,0,0,0,0
多摩川,13207,江東区,0,0,0,0,0
多摩川,13207,港区,0,0,0,0,0
多摩川,13207,狛江市,0,0,0,0,0
多摩川,13207,目黒区,0,0,0,0,0
多摩川,13207,福生市,0,0,0,0,0
多摩川,13207,荒川区,0,0,0,0,0
多摩川,13207,葛飾区,0,0,0,0,0
多摩川,13207,調布市,0,0,0,0,0
多摩川,13207,足立区,0,0,0,0,0
多摩川,13207,青梅市,0,0,0,0,0
多摩川,13208,あきる野市,0,0,0,0,0
多摩川,13208,中央区,0,0,0,0,0
多摩川,13208,千代田区,0,0,0,0,0
多摩川,13208,台東区,0,0,0,0,0
多摩川,13208,国立市,0,0,0,0,0
多摩川,13208,墨田区,0,0,0,0,0
多摩川,13208,大田区,0,0,0,0,0
多摩川,13208,府中市,0,0,0,0,0
多摩川,13208,日野市,0,0,0,0,0
多摩川,13208,昭島市,0,0,0,0,0
多摩川,13208,板橋区,0,0,0,0,0
多摩川,13208,江戸川区,0,0,0,0,0
多摩川,13208,江東区,0,0,0,0,0
多摩川,13208,港区,0,0,0,0,0
多摩川,13208,狛江市,0,0,0,0,0
多摩川,13208,目黒区,0,0,0,0,0
多摩川,13208,福生市,0,0,0,0,0
多摩川,13208,荒川区,0,0,0,0,0
多摩川,13208,葛飾区,0,0,0,0,0
多摩川,13208,調布市,2,5,6,0,13
多摩川,13208,足立区,0,0,0,0,0
多摩川,13208,青梅市,0,0,0,0,0
多摩川,13212,あきる野市,0,0,0,0,0
多摩川,13212,中央区,0,0,0,0,0
多摩川,13212,千代田区,0,0,0,0,0
多摩川,13212,台東区,0,0,0,0,0
多摩川,13212,国立市,0,0,0,0,0
多摩川,13212,墨田区,0,0,0,0,0
多摩川,13212,大田区,0,0,0,0,0
多摩川,13212,府中市,0,0,0,0,0
多摩川,13212,日野市,1,1,0,0,2
多摩川,13212,昭島市,0,0,0,0,0
多摩川,13212,板橋区,0,0,0,0,0
多摩川,13212,江戸川区,0,0,0,0,0
多摩川,13212,江東区,0,0,0,0,0
多摩川,13212,港区,0,0,0,0,0
多摩川,13212,狛江市,0,0,0,0,0
多摩川,13212,目黒区,0,0,0,0,0
多摩川,13212,福生市,0,0,0,0,0
多摩川,13212,荒川区,0,0,0,0,0
多摩川,13212,葛飾区,0,0,0,0,0
多摩川,13212,調布市,0,0,0,0,0
多摩川,13212,足立区,0,0,0,0,0
多摩川,13212,青梅市,0,0,0,0,0
多摩川,13215,あきる野市,0,0,0,0,0
多摩川,13215,中央区,0,0,0,0,0
多摩川,13215,千代田区,0,0,0,0,0
多摩川,13215,台東区,0,0,0,0,0
多摩川,13215,国立市,11,3,0,1,15
多摩川,13215,墨田区,0,0,0,0,0
多摩川,13215,大田区,0,0,0,0,0
多摩川,13215,府中市,0,0,0,0,0
多摩川,13215,日野市,0,0,0,0,0
多摩川,13215,昭島市,0,0,0,0,0
多摩川,13215,板橋区,0,0,0,0,0
多摩川,13215,江戸川区,0,0,0,0,0
多摩川,13215,江東区,0,0,0,0,0
多摩川,13215,港区,0,0,0,0,0
多摩川,13215,狛江市,0,0,0,0,0
多摩川,13215,目黒区,0,0,0,0,0
多摩川,13215,福生市,0,0,0,0,0
多摩川,13215,荒川区,0,0,0,0,0
多摩川,13215,葛飾区,0,0,0,0,0
多摩川,13215,調布市,0,0,0,0,0
多摩川,13215,足立区,0,0,0,0,0
多摩川,13215,青梅市,0,0,0,0,0
多摩川,13218,あきる野市,0,0,0,0,0
多摩川,13218,中央区,0,0,0,0,0
多摩川,13218,千代田区,0,0,0,0,0
多摩川,13218,台東区,0,0,0,0,0
多摩川,13218,国立市,0,0,0,0,0
多摩川,13218,墨田区,0,0,0,0,0
多摩川,13218,大田区,0,0,0,0,0
多摩川,13218,府中市,0,0,0,0,0
多摩川,13218,日野市,0,0,0,0,0
多摩川,13218,昭島市,0,0,0,0,0
多摩川,13218,板橋区,0,0,0,0,0
多摩川,13218,江戸川区,0,0,0,0,0
多摩川,13218,江東区,0,0,0,0,0
多摩川,13218,港区,0,0,0,0,0
多摩川,13218,狛江市,0,0,0,0,0
多摩川,13218,目黒区,0,0,0,0,0
多摩川,13218,福生市,0,6,0,0,6
多摩川,13218,荒川区,0,0,0,0,0
多摩川,13218,葛飾区,0,0,0,0,0
多摩川,13218,調布市,0,0,0,0,0
多摩川,13218,足立区,0,0,0,0,0
多摩川,13218,青梅市,0,0,0,0,0
多摩川,13219,あきる野市,0,0,0,0,0
多摩川,13219,中央区,0,0,0,0,0
多摩川,13219,千代田区,0,0,0,0,0
多摩川,13219,台東区,0,0,0,0,0
多摩川,13219,国立市,0,0,0,0,0
多摩川,13219,墨田区,0,0,0,0,0
多摩川,13219,大田区,0,0,0,0,0
多摩川,13219,府中市,0,0,0,0,0
多摩川,13219,日野市,0,0,0,0,0
多摩川,13219,昭島市,0,0,0,0,0
