municipality_code,municipality_name,source_file,source_municipality_gpkg
13108,江東区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13108_heritage.gpkg
13109,品川区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13109_heritage.gpkg
13109,品川区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13109_heritage.gpkg
13110,目黒区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13110_heritage.gpkg
13110,目黒区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13110_heritage.gpkg
13111,大田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13111_heritage.gpkg
13111,大田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13111_heritage.gpkg
13112,世田谷区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13112_heritage.gpkg
13112,世田谷区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13112_heritage.gpkg
13113,渋谷区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13113_heritage.gpkg
13113,渋谷区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13113_heritage.gpkg
13114,中野区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13114_heritage.gpkg
13114,中野区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13114_heritage.gpkg
13114,中野区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13114_heritage.gpkg
13115,杉並区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13115_heritage.gpkg
13115,杉並区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13115_heritage.gpkg
13115,杉並区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13115_heritage.gpkg
13116,豊島区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13116_heritage.gpkg
13116,豊島区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13116_heritage.gpkg
13116,豊島区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13116_heritage.gpkg
13118,荒川区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/130001_cultural_property.csv,13118_heritage.gpkg
13119,板橋区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/130001_cultural_property.csv,13119_heritage.gpkg
13120,練馬区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/130001_cultural_property.csv,13120_heritage.gpkg
13121,足立区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/130001_cultural_property.csv,13121_heritage.gpkg
13122,葛飾区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13122_heritage.gpkg
13122,葛飾区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13122_heritage.gpkg
13122,葛飾区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13122_heritage.gpkg
13123,江戸川区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13123_heritage.gpkg
13123,江戸川区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13123_heritage.gpkg
13123,江戸川区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13123_heritage.gpkg
13201,八王子市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13201_heritage.gpkg
13201,八王子市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13201_heritage.gpkg
13202,立川市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13202_heritage.gpkg
13203,武蔵野市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13203_heritage.gpkg
13204,三鷹市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13204_heritage.gpkg
13204,三鷹市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13204_heritage.gpkg
13205,青梅市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13205_heritage.gpkg
13205,青梅市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13205_heritage.gpkg
13206,府中市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13206_heritage.gpkg
13206,府中市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13206_heritage.gpkg
13207,昭島市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13207_heritage.gpkg
13207,昭島市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13207_heritage.gpkg
13208,調布市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13208_heritage.gpkg
13208,調布市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13208_heritage.gpkg
13208,調布市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13208_heritage.gpkg
13209,町田市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13209_heritage.gpkg
13209,町田市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13209_heritage.gpkg
13210,小金井市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13210_heritage.gpkg
13210,小金井市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13210_heritage.gpkg
13210,小金井市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13210_heritage.gpkg
13211,小平市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13211_heritage.gpkg
13211,小平市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13211_heritage.gpkg
13212,日野市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13212_heritage.gpkg
13212,日野市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13212_heritage.gpkg
13213,東村山市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13213_heritage.gpkg
13213,東村山市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13213_heritage.gpkg
13213,東村山市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13213_heritage.gpkg
13214,国分寺市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13214_heritage.gpkg
13214,国分寺市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13214_heritage.gpkg
13214,国分寺市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13214_heritage.gpkg
13215,国立市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13215_heritage.gpkg
13215,国立市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13215_heritage.gpkg
13215,国立市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13215_heritage.gpkg
13218,福生市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13218_heritage.gpkg
13218,福生市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13218_heritage.gpkg
13219,狛江市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13219_heritage.gpkg
13219,狛江市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13219_heritage.gpkg
13220,東大和市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13220_heritage.gpkg
13220,東大和市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13220_heritage.gpkg
13221,清瀬市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13221_heritage.gpkg
13222,東久留米市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13222_heritage.gpkg
13222,東久留米市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13222_heritage.gpkg
13222,東久留米市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13222_heritage.gpkg
13223,武蔵村山市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13223_heritage.gpkg
13224,多摩市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13224_heritage.gpkg
13224,多摩市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13224_heritage.gpkg
13225,稲城市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13225_heritage.gpkg
13227,羽村市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13227_heritage.gpkg
13227,羽村市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13227_heritage.gpkg
13228,あきる野市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13228_heritage.gpkg
13228,あきる野市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13228_heritage.gpkg
13228,あきる野市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13228_heritage.gpkg
13229,西東京市,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13229_heritage.gpkg
13305,日の出町,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13305_heritage.gpkg
13305,日の出町,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13305_heritage.gpkg
13307,檜原村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13307_heritage.gpkg
13307,檜原村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13307_heritage.gpkg
13361,大島町,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13361_heritage.gpkg
13361,大島町,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13361_heritage.gpkg
13362,利島村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13362_heritage.gpkg
13362,利島村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13362_heritage.gpkg
13363,新島村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13363_heritage.gpkg
13381,三宅村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13381_heritage.gpkg
13401,八丈町,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/130001_cultural_property.csv,13401_heritage.gpkg
13402,青ケ島村,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13402_heritage.gpkg
