record_id,risk_type,risk_type_ja,depth_m,hazard_source,scenario,risk_class,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,depth_class
13104:141,river_flooding,浸水予想区域,2.0,神田川流域,,0.5–3 m,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,国産飛行機発祥の地,0.5–3 m
13104:142,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大久保の犬御用屋敷跡,0
13104:143,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,三遊亭円朝旧居跡,0
13104:144,river_flooding,洪水浸水想定区域,0.277,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,夏目漱石誕生の地,0–0.5 m
13104:145,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,夏目漱石終焉の地,0
13104:146,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,便々館湖鯉鮒狂歌碑,0
13104:147,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永井荷風旧居跡,0
13104:148,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,岡崎三郎信康供養塔,0
13104:149,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,榊原鍵吉の墓,0
13104:15,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院の金剛力士石像,0
13104:150,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,平秩東作の墓,0
13104:151,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,二葉亭四迷旧居跡,0
13104:152,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大和田建樹終焉の地,0
13104:153,river_flooding,洪水浸水想定区域,0.011,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,有島武郎旧居跡,0–0.5 m
13104:154,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,島村抱月終焉の地 (芸術倶楽部跡),0
13104:155,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,内藤正勝の墓,0
13104:156,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,筒井政憲の墓,0
13104:157,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,小泉八雲終焉の地,0
13104:158,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,紅皿の墓,0
13104:159,river_flooding,洪水浸水想定区域,0.019,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,坪内逍遙旧居跡(文芸協会演劇研究所跡),0–0.5 m
13104:16,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,誓閑寺の梵鐘,0
13104:160,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,佐伯祐三アトリエの地,0
13104:161,river_flooding,浸水予想区域,0.0,城南地区河川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,滝沢馬琴終焉の地,0
13104:162,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,柳田國男旧居跡,0
13104:163,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,斎藤茂吉終焉の地,0
13104:164,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,下村湖人終焉の地,0
13104:165,river_flooding,洪水浸水想定区域,0.051,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,落合秋艸堂跡(會津八一旧居跡),0–0.5 m
13104:166,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西條八十旧居跡,0
13104:167,river_flooding,洪水浸水想定区域,0.23,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,女人芸術社跡(長谷川時雨・三上於菟吉旧居跡),0–0.5 m
13104:168,river_flooding,洪水浸水想定区域,0.147,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,内村鑑三終焉の地(今井館聖書講堂跡),0–0.5 m
13104:169,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鈴木三重吉終焉の地(「赤い鳥」社跡),0
13104:17,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善国寺の毘沙門天像,0
13104:170,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鏑木清方旧居跡,0
13104:171,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,辰野金吾の墓,0
13104:172,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,牛込城跡,0
13104:173,river_flooding,浸水予想区域,2.0,神田川流域,,0.5–3 m,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,富塚跡,0.5–3 m
13104:174,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,便々館湖鯉鮒の墓,0
13104:175,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,成子天神社の富士塚,0
13104:176,river_flooding,洪水浸水想定区域,0.021,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,生田春月旧居跡,0–0.5 m
13104:177,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,泉鏡花旧居跡,0
13104:178,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林芙美子終焉の地,0
13104:179,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,塚本明毅の墓碑,0
13104:18,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,経王寺の大黒天像,0
13104:180,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,萩原宗固の墓,0
13104:181,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,吉川湊一の墓,0
13104:182,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,東京府仮小学第三校跡,0
13104:183,river_flooding,浸水予想区域,0.0,城南地区河川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,シイ,0
13104:184,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,イチョウ,0
13104:185,river_flooding,洪水浸水想定区域,0.013,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,末広亭,0–0.5 m
13104:186,river_flooding,洪水浸水想定区域,0.203,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,歌舞伎町建設記念碑,0–0.5 m
