municipality_code,municipality_name,その他,保存技術,区指定文化財,史跡,名勝,国宝,天然記念物,工芸技術,市郷土資料,建造物,技芸,文化的景観,旧跡,有形民俗文化財,有形民俗文化財(民俗),有形民俗文化財(金石文等),未細分,歴史資料,民俗テーマ(生活技術),無形民俗文化財,無形民俗文化財(民俗芸能),無形民俗文化財(風俗慣習),Total
13112,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113,渋谷区,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,31
13113,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114,中野区,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,10,0,0,2,0,0,22
13114,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115,杉並区,0,0,0,9,0,0,5,0,0,27,0,0,0,32,0,0,25,0,0,5,0,0,103
13115,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13116,豊島区,0,1,0,2,0,0,4,0,0,22,0,0,8,6,0,0,113,0,0,3,0,0,159
13116,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13118,荒川区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
13118,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13119,板橋区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
13119,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13120,練馬区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
13120,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13121,足立区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13121,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13122,葛飾区,0,1,0,9,2,0,12,0,0,3,0,1,6,50,0,0,129,0,0,5,0,0,218
13122,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13123,江戸川区,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,239,1,0,0,0,0,242
13123,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13201,八王子市,0,0,0,2,0,0,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,15
13201,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13202,立川市,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
13202,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13203,武蔵野市,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
13203,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13204,三鷹市,0,0,0,1,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,26
13204,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13205,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13205,青梅市,0,0,0,5,1,0,3,0,0,30,0,0,1,1,0,0,0,0,0,0,0,0,41
13206,府中市,0,0,0,0,0,0,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,9
13206,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13207,昭島市,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
13207,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208,調布市,0,0,0,5,0,0,9,0,0,30,0,0,2,0,9,7,0,7,0,0,1,0,70
13208,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13209,町田市,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
