municipality_code,municipality_name,その他,文化的景観,文化財保存技術,有形文化財,未判定,民俗文化財,無形文化財,記念物,Total
13104,葛飾区,0,0,0,0,0,0,0,0,0
13104,西東京市,0,0,0,0,0,0,0,0,0
13104,調布市,0,0,0,0,0,0,0,0,0
13104,豊島区,0,0,0,0,0,0,0,0,0
13104,足立区,0,0,0,0,0,0,0,0,0
13104,青ケ島村,0,0,0,0,0,0,0,0,0
13104,青梅市,0,0,0,0,0,0,0,0,0
13105,あきる野市,0,0,0,0,0,0,0,0,0
13105,三宅村,0,0,0,0,0,0,0,0,0
13105,三鷹市,0,0,0,0,0,0,0,0,0
13105,世田谷区,0,0,0,0,0,0,0,0,0
13105,中央区,0,0,0,0,0,0,0,0,0
13105,中野区,0,0,0,0,0,0,0,0,0
13105,八丈町,0,0,0,0,0,0,0,0,0
13105,八王子市,0,0,0,0,0,0,0,0,0
13105,利島村,0,0,0,0,0,0,0,0,0
13105,千代田区,0,0,0,0,0,0,0,0,0
13105,台東区,0,0,0,0,0,0,0,0,0
13105,品川区,0,0,0,0,0,0,0,0,0
13105,国分寺市,0,0,0,0,0,0,0,0,0
13105,国立市,0,0,0,0,0,0,0,0,0
13105,墨田区,0,0,0,0,0,0,0,0,0
13105,多摩市,0,0,0,0,0,0,0,0,0
13105,大島町,0,0,0,0,0,0,0,0,0
13105,大田区,0,0,0,0,0,0,0,0,0
13105,小平市,0,0,0,0,0,0,0,0,0
13105,小金井市,0,0,0,0,0,0,0,0,0
13105,府中市,0,0,0,0,0,0,0,0,0
13105,文京区,0,0,0,80,0,0,0,12,92
13105,新宿区,0,0,0,0,0,0,0,0,0
13105,新島村,0,0,0,0,0,0,0,0,0
13105,日の出町,0,0,0,0,0,0,0,0,0
13105,日野市,0,0,0,0,0,0,0,0,0
13105,昭島市,0,0,0,0,0,0,0,0,0
13105,杉並区,0,0,0,0,0,0,0,0,0
13105,東久留米市,0,0,0,0,0,0,0,0,0
13105,東大和市,0,0,0,0,0,0,0,0,0
13105,東村山市,0,0,0,0,0,0,0,0,0
13105,板橋区,0,0,0,0,0,0,0,0,0
13105,檜原村,0,0,0,0,0,0,0,0,0
13105,武蔵村山市,0,0,0,0,0,0,0,0,0
13105,武蔵野市,0,0,0,0,0,0,0,0,0
13105,江戸川区,0,0,0,0,0,0,0,0,0
13105,江東区,0,0,0,0,0,0,0,0,0
13105,清瀬市,0,0,0,0,0,0,0,0,0
13105,渋谷区,0,0,0,0,0,0,0,0,0
13105,港区,0,0,0,0,0,0,0,0,0
13105,狛江市,0,0,0,0,0,0,0,0,0
13105,町田市,0,0,0,0,0,0,0,0,0
13105,目黒区,0,0,0,0,0,0,0,0,0
13105,福生市,0,0,0,0,0,0,0,0,0
13105,稲城市,0,0,0,0,0,0,0,0,0
13105,立川市,0,0,0,0,0,0,0,0,0
13105,練馬区,0,0,0,0,0,0,0,0,0
13105,羽村市,0,0,0,0,0,0,0,0,0
13105,荒川区,0,0,0,0,0,0,0,0,0
13105,葛飾区,0,0,0,0,0,0,0,0,0
13105,西東京市,0,0,0,0,0,0,0,0,0
13105,調布市,0,0,0,0,0,0,0,0,0
13105,豊島区,0,0,0,0,0,0,0,0,0
13105,足立区,0,0,0,0,0,0,0,0,0
13105,青ケ島村,0,0,0,0,0,0,0,0,0
13105,青梅市,0,0,0,0,0,0,0,0,0
13106,あきる野市,0,0,0,0,0,0,0,0,0
13106,三宅村,0,0,0,0,0,0,0,0,0
13106,三鷹市,0,0,0,0,0,0,0,0,0
13106,世田谷区,0,0,0,0,0,0,0,0,0
13106,中央区,0,0,0,0,0,0,0,0,0
13106,中野区,0,0,0,0,0,0,0,0,0
13106,八丈町,0,0,0,0,0,0,0,0,0
13106,八王子市,0,0,0,0,0,0,0,0,0
13106,利島村,0,0,0,0,0,0,0,0,0
13106,千代田区,0,0,0,0,0,0,0,0,0
13106,台東区,0,0,0,85,0,17,0,37,139
13106,品川区,0,0,0,0,0,0,0,0,0
13106,国分寺市,0,0,0,0,0,0,0,0,0
13106,国立市,0,0,0,0,0,0,0,0,0
13106,墨田区,0,0,0,0,0,0,0,0,0
13106,多摩市,0,0,0,0,0,0,0,0,0
13106,大島町,0,0,0,0,0,0,0,0,0
13106,大田区,0,0,0,0,0,0,0,0,0
13106,小平市,0,0,0,0,0,0,0,0,0
13106,小金井市,0,0,0,0,0,0,0,0,0
13106,府中市,0,0,0,0,0,0,0,0,0
13106,文京区,0,0,0,0,0,0,0,0,0
13106,新宿区,0,0,0,0,0,0,0,0,0
13106,新島村,0,0,0,0,0,0,0,0,0
13106,日の出町,0,0,0,0,0,0,0,0,0
13106,日野市,0,0,0,0,0,0,0,0,0
13106,昭島市,0,0,0,0,0,0,0,0,0
13106,杉並区,0,0,0,0,0,0,0,0,0
13106,東久留米市,0,0,0,0,0,0,0,0,0
13106,東大和市,0,0,0,0,0,0,0,0,0
13106,東村山市,0,0,0,0,0,0,0,0,0
13106,板橋区,0,0,0,0,0,0,0,0,0
13106,檜原村,0,0,0,0,0,0,0,0,0
13106,武蔵村山市,0,0,0,0,0,0,0,0,0
13106,武蔵野市,0,0,0,0,0,0,0,0,0
13106,江戸川区,0,0,0,0,0,0,0,0,0
13106,江東区,0,0,0,0,0,0,0,0,0
13106,清瀬市,0,0,0,0,0,0,0,0,0
13106,渋谷区,0,0,0,0,0,0,0,0,0
13106,港区,0,0,0,0,0,0,0,0,0
13106,狛江市,0,0,0,0,0,0,0,0,0
13106,町田市,0,0,0,0,0,0,0,0,0
13106,目黒区,0,0,0,0,0,0,0,0,0
13106,福生市,0,0,0,0,0,0,0,0,0
13106,稲城市,0,0,0,0,0,0,0,0,0
13106,立川市,0,0,0,0,0,0,0,0,0
13106,練馬区,0,0,0,0,0,0,0,0,0
13106,羽村市,0,0,0,0,0,0,0,0,0
13106,荒川区,0,0,0,0,0,0,0,0,0
13106,葛飾区,0,0,0,0,0,0,0,0,0
13106,西東京市,0,0,0,0,0,0,0,0,0
13106,調布市,0,0,0,0,0,0,0,0,0
13106,豊島区,0,0,0,0,0,0,0,0,0
13106,足立区,0,0,0,0,0,0,0,0,0
13106,青ケ島村,0,0,0,0,0,0,0,0,0
13106,青梅市,0,0,0,0,0,0,0,0,0
13107,あきる野市,0,0,0,0,0,0,0,0,0
13107,三宅村,0,0,0,0,0,0,0,0,0
13107,三鷹市,0,0,0,0,0,0,0,0,0
13107,世田谷区,0,0,0,0,0,0,0,0,0
13107,中央区,0,0,0,0,0,0,0,0,0
13107,中野区,0,0,0,0,0,0,0,0,0
13107,八丈町,0,0,0,0,0,0,0,0,0
13107,八王子市,0,0,0,0,0,0,0,0,0
13107,利島村,0,0,0,0,0,0,0,0,0
13107,千代田区,0,0,0,0,0,0,0,0,0
13107,台東区,0,0,0,0,0,0,0,0,0
13107,品川区,0,0,0,0,0,0,0,0,0
13107,国分寺市,0,0,0,0,0,0,0,0,0
13107,国立市,0,0,0,0,0,0,0,0,0
13107,墨田区,0,0,0,66,0,36,0,13,115
13107,多摩市,0,0,0,0,0,0,0,0,0
13107,大島町,0,0,0,0,0,0,0,0,0
13107,大田区,0,0,0,0,0,0,0,0,0
13107,小平市,0,0,0,0,0,0,0,0,0
13107,小金井市,0,0,0,0,0,0,0,0,0
13107,府中市,0,0,0,0,0,0,0,0,0
13107,文京区,0,0,0,0,0,0,0,0,0
13107,新宿区,0,0,0,0,0,0,0,0,0
13107,新島村,0,0,0,0,0,0,0,0,0
13107,日の出町,0,0,0,0,0,0,0,0,0
13107,日野市,0,0,0,0,0,0,0,0,0
13107,昭島市,0,0,0,0,0,0,0,0,0
13107,杉並区,0,0,0,0,0,0,0,0,0
13107,東久留米市,0,0,0,0,0,0,0,0,0
13107,東大和市,0,0,0,0,0,0,0,0,0
13107,東村山市,0,0,0,0,0,0,0,0,0
13107,板橋区,0,0,0,0,0,0,0,0,0
13107,檜原村,0,0,0,0,0,0,0,0,0
13107,武蔵村山市,0,0,0,0,0,0,0,0,0
13107,武蔵野市,0,0,0,0,0,0,0,0,0
13107,江戸川区,0,0,0,0,0,0,0,0,0
13107,江東区,0,0,0,0,0,0,0,0,0
13107,清瀬市,0,0,0,0,0,0,0,0,0
13107,渋谷区,0,0,0,0,0,0,0,0,0
13107,港区,0,0,0,0,0,0,0,0,0
13107,狛江市,0,0,0,0,0,0,0,0,0
13107,町田市,0,0,0,0,0,0,0,0,0
13107,目黒区,0,0,0,0,0,0,0,0,0
13107,福生市,0,0,0,0,0,0,0,0,0
13107,稲城市,0,0,0,0,0,0,0,0,0
13107,立川市,0,0,0,0,0,0,0,0,0
13107,練馬区,0,0,0,0,0,0,0,0,0
13107,羽村市,0,0,0,0,0,0,0,0,0
13107,荒川区,0,0,0,0,0,0,0,0,0
13107,葛飾区,0,0,0,0,0,0,0,0,0
13107,西東京市,0,0,0,0,0,0,0,0,0
13107,調布市,0,0,0,0,0,0,0,0,0
13107,豊島区,0,0,0,0,0,0,0,0,0
13107,足立区,0,0,0,0,0,0,0,0,0
13107,青ケ島村,0,0,0,0,0,0,0,0,0
13107,青梅市,0,0,0,0,0,0,0,0,0
13108,あきる野市,0,0,0,0,0,0,0,0,0
13108,三宅村,0,0,0,0,0,0,0,0,0
13108,三鷹市,0,0,0,0,0,0,0,0,0
13108,世田谷区,0,0,0,0,0,0,0,0,0
13108,中央区,0,0,0,0,0,0,0,0,0
13108,中野区,0,0,0,0,0,0,0,0,0
13108,八丈町,0,0,0,0,0,0,0,0,0
13108,八王子市,0,0,0,0,0,0,0,0,0
13108,利島村,0,0,0,0,0,0,0,0,0
13108,千代田区,0,0,0,0,0,0,0,0,0
13108,台東区,0,0,0,0,0,0,0,0,0
13108,品川区,0,0,0,0,0,0,0,0,0
13108,国分寺市,0,0,0,0,0,0,0,0,0
13108,国立市,0,0,0,0,0,0,0,0,0
13108,墨田区,0,0,0,0,0,0,0,0,0
13108,多摩市,0,0,0,0,0,0,0,0,0
13108,大島町,0,0,0,0,0,0,0,0,0
13108,大田区,0,0,0,0,0,0,0,0,0
13108,小平市,0,0,0,0,0,0,0,0,0
