record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
official_export_002:59,13102,中央区,National,Registered,有形文化財,建造物,building_direct,大野屋總本店店舗,5.82,都心南部直下地震,6弱
official_export_002:138,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧飯田家住宅店舗兼主屋,6.073,都心南部直下地震,6強以上
official_export_002:179,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧宮脇ビル(川崎ブランドデザインビルヂング),5.841,都心南部直下地震,6弱
official_export_002:197,13102,中央区,National,Registered,有形文化財,建造物,building_direct,喜代川店舗,5.868,都心南部直下地震,6弱
official_export_002:199,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座大野屋店舗兼主屋,5.819,都心南部直下地震,6弱
official_export_002:200,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座ライオンビル,5.774,都心南部直下地震,6弱
official_export_002:271,13102,中央区,National,Registered,有形文化財,建造物,building_direct,新富町躍金楼店舗,6.004,都心南部直下地震,6強以上
official_export_002:305,13102,中央区,National,Registered,有形文化財,建造物,building_direct,玉置文治郎ビル,6.027,都心南部直下地震,6強以上
official_export_002:396,13102,中央区,National,Registered,有形文化財,建造物,building_direct,ハリオグラスビル,6.246,都心南部直下地震,6強以上
official_export_002:423,13102,中央区,National,Registered,有形文化財,建造物,building_direct,繭山龍泉堂店舗,5.869,都心南部直下地震,6弱
official_export_002:473,13102,中央区,National,Registered,有形文化財,建造物,building_direct,よし梅芳町亭,6.324,都心南部直下地震,6強以上
official_export_003:20,13102,中央区,National,Designated,記念物,天然記念物,point,旧浜離宮庭園,6.104,都心南部直下地震,6強以上
205,13103,港区,Tokyo Metropolitan,Designated,記念物,天然記念物,point,旧細川邸のシイ,6.267,都心南部直下地震,6強以上
245,13103,港区,Tokyo Metropolitan,Designated,記念物,天然記念物,point,芝東照宮のイチョウ,5.893,都心南部直下地震,6弱
official_export_001:27,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,6.082,都心南部直下地震,6強以上
official_export_001:28,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,6.126,都心南部直下地震,6強以上
official_export_001:29,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,6.126,都心南部直下地震,6強以上
official_export_001:30,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,6.119,都心南部直下地震,6強以上
official_export_001:31,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,6.119,都心南部直下地震,6強以上
official_export_001:54,13103,港区,National,Designated,有形文化財,建造物,building_direct,慶応義塾図書館,6.144,都心南部直下地震,6強以上
official_export_001:55,13103,港区,National,Designated,有形文化財,建造物,building_direct,慶応義塾三田演説館,6.144,都心南部直下地震,6強以上
official_export_001:82,13103,港区,National,Designated,有形文化財,建造物,building_direct,瑞聖寺大雄宝殿,6.217,都心南部直下地震,6強以上
official_export_001:93,13103,港区,National,Designated,有形文化財,建造物,building_direct,増上寺三解脱門,6.034,都心南部直下地震,6強以上
official_export_001:98,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧台徳院霊廟惣門,5.961,都心南部直下地震,6弱
official_export_001:106,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧東宮御所(迎賓館赤坂離宮),5.994,都心南部直下地震,6弱
official_export_001:127,13103,港区,National,Designated,有形文化財,建造物,building_direct,武家屋敷門,6.061,都心南部直下地震,6強以上
official_export_001:142,13103,港区,National,Designated,有形文化財,建造物,building_direct,明治学院インブリー館,6.212,都心南部直下地震,6強以上
official_export_001:194,13103,港区,National,Designated,有形文化財,建造物,building_direct,有章院(徳川家継)霊廟二天門,5.982,都心南部直下地震,6弱
official_export_002:58,13103,港区,National,Registered,有形文化財,建造物,building_direct,大倉集古館陳列館,5.837,都心南部直下地震,6弱
official_export_002:60,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮表門,5.906,都心南部直下地震,6弱
