record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,depth_m,hazard_source,scenario,risk_basis,risk_type,depth_class
official_export_002:182,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧山口萬吉邸主屋,0.028,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:183,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧山口萬吉邸門及び塀,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),0.022,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:297,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋,0.057,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:298,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:299,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:359,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁,0.014,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:360,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線四ツ谷跨線橋,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,0.83,神田川流域;荒川水系神田川流域;隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_002:422,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,松本家住宅主屋,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:460,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,山本歯科医院,0.285,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_003:3,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城跡,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_003:4,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城跡のヒカリゴケ生育地,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_003:5,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城外堀跡,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_003:50,13101,千代田区,National,Designated,記念物,天然記念物,point,常盤橋門跡,0.02,神田川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0–0.5 m
93,13102,中央区,Tokyo Metropolitan,Designated,有形文化財,歴史資料,point,一石橋迷子しらせ石標,0.0,神田川流域,,external point-grid sampling,river_flooding,0
131024000000.0,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル,0.962,神田川流域;荒川水系神田川流域;隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_001:10,13102,中央区,National,Designated,有形文化財,建造物,building_direct,永代橋,,,,,river_flooding,No data
official_export_001:20,13102,中央区,National,Designated,有形文化財,建造物,building_direct,勝鬨橋,,,,,river_flooding,No data
official_export_001:53,13102,中央区,National,Designated,有形文化財,建造物,building_direct,清洲橋,,,,,river_flooding,No data
official_export_001:99,13102,中央区,National,Designated,有形文化財,建造物,building_direct,髙島屋東京店,0.07,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_001:101,13102,中央区,National,Designated,有形文化財,建造物,building_direct,築地本願寺本堂,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_001:112,13102,中央区,National,Designated,有形文化財,建造物,building_direct,日本銀行本店本館,1.627,神田川流域;荒川水系神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_001:113,13102,中央区,National,Designated,有形文化財,建造物,building_direct,日本橋,,,,,river_flooding,No data
official_export_001:138,13102,中央区,National,Designated,有形文化財,建造物,building_direct,三井本館,0.22,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_001:139,13102,中央区,National,Designated,有形文化財,建造物,building_direct,三越日本橋本店,0.031,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:53,13102,中央区,National,Registered,有形文化財,建造物,building_direct,江戸屋店舗兼住宅,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:59,13102,中央区,National,Registered,有形文化財,建造物,building_direct,大野屋總本店店舗,0.0,神田川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:138,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧飯田家住宅店舗兼主屋,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:179,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧宮脇ビル(川崎ブランドデザインビルヂング),0.11,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:197,13102,中央区,National,Registered,有形文化財,建造物,building_direct,喜代川店舗,0.214,神田川流域;荒川水系神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:199,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座大野屋店舗兼主屋,0.04,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:200,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座ライオンビル,0.06,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:271,13102,中央区,National,Registered,有形文化財,建造物,building_direct,新富町躍金楼店舗,0.04,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:305,13102,中央区,National,Registered,有形文化財,建造物,building_direct,玉置文治郎ビル,0.0,神田川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:396,13102,中央区,National,Registered,有形文化財,建造物,building_direct,ハリオグラスビル,0.019,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:423,13102,中央区,National,Registered,有形文化財,建造物,building_direct,繭山龍泉堂店舗,0.02,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:473,13102,中央区,National,Registered,有形文化財,建造物,building_direct,よし梅芳町亭,0.017,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_003:20,13102,中央区,National,Designated,記念物,天然記念物,point,旧浜離宮庭園,,,,,river_flooding,No data
205,13103,港区,Tokyo Metropolitan,Designated,記念物,天然記念物,point,旧細川邸のシイ,0.027,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
245,13103,港区,Tokyo Metropolitan,Designated,記念物,天然記念物,point,芝東照宮のイチョウ,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:27,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,0.009,城南地区河川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_001:28,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,0.743,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_001:29,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:30,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:31,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:54,13103,港区,National,Designated,有形文化財,建造物,building_direct,慶応義塾図書館,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:55,13103,港区,National,Designated,有形文化財,建造物,building_direct,慶応義塾三田演説館,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:82,13103,港区,National,Designated,有形文化財,建造物,building_direct,瑞聖寺大雄宝殿,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:93,13103,港区,National,Designated,有形文化財,建造物,building_direct,増上寺三解脱門,0.38,古川水系渋谷川・古川・目黒川水系目黒川・呑川水系呑川・立会川水系立会川・内川水系内川;城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_001:98,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧台徳院霊廟惣門,0.497,城南地区河川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_001:106,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧東宮御所(迎賓館赤坂離宮),0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:127,13103,港区,National,Designated,有形文化財,建造物,building_direct,武家屋敷門,0.22,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_001:142,13103,港区,National,Designated,有形文化財,建造物,building_direct,明治学院インブリー館,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_001:194,13103,港区,National,Designated,有形文化財,建造物,building_direct,有章院(徳川家継)霊廟二天門,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_002:58,13103,港区,National,Registered,有形文化財,建造物,building_direct,大倉集古館陳列館,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:60,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮表門,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:61,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室葵,0.01,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_002:62,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室桂,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:63,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室守貧庵,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:64,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室如庵写,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:65,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室山吹,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:66,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮中門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:67,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮不老門,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:68,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮塀,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:126,13103,港区,National,Registered,有形文化財,建造物,building_direct,菊池寛実記念智美術館別館,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:198,13103,港区,National,Registered,有形文化財,建造物,building_direct,キリスト友会フレンズセンター,0.035,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:213,13103,港区,National,Registered,有形文化財,建造物,building_direct,廣度院表門及び練塀,1.411,古川水系渋谷川・古川・目黒川水系目黒川・呑川水系呑川・立会川水系立会川・内川水系内川;城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_002:222,13103,港区,National,Registered,有形文化財,建造物,building_direct,国際文化会館本館,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_002:256,13103,港区,National,Registered,有形文化財,建造物,building_direct,常行院納骨堂,0.653,古川水系渋谷川・古川・目黒川水系目黒川・呑川水系呑川・立会川水系立会川・内川水系内川;城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_002:260,13103,港区,National,Registered,有形文化財,建造物,building_direct,常照院本堂内陣,1.243,古川水系渋谷川・古川・目黒川水系目黒川・呑川水系呑川・立会川水系立会川・内川水系内川;城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_002:267,13103,港区,National,Registered,有形文化財,建造物,building_direct,心光院表門,0.02,城南地区河川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_002:268,13103,港区,National,Registered,有形文化財,建造物,building_direct,心光院本堂,0.02,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:345,13103,港区,National,Registered,有形文化財,建造物,building_direct,東京水産大学雲鷹丸,0.081,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:356,13103,港区,National,Registered,有形文化財,建造物,building_direct,東京タワー,0.23,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:365,13103,港区,National,Registered,有形文化財,建造物,building_direct,虎ノ門大坂屋砂場店舗,0.32,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:415,13103,港区,National,Registered,有形文化財,建造物,building_direct,堀商店,0.45,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:425,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘蔵,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_002:426,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘主屋,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_002:427,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘洋館,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_002:435,13103,港区,National,Registered,有形文化財,建造物,building_direct,妙定院上土蔵,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_002:436,13103,港区,National,Registered,有形文化財,建造物,building_direct,妙定院熊野堂,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_003:1,13103,港区,National,Designated,記念物,天然記念物,point,浅野長矩墓および赤穂義士墓,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_003:11,13103,港区,National,Designated,記念物,天然記念物,point,荻生徂徠墓,0.003,城南地区河川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_003:17,13103,港区,National,Designated,記念物,天然記念物,point,旧芝離宮庭園,2.895,城南地区河川流域,,external point-grid sampling,river_flooding,0.5–3 m
official_export_003:19,13103,港区,National,Designated,記念物,天然記念物,point,旧新橋停車場跡及び高輪築堤跡,0.0,城南地区河川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_003:29,13103,港区,National,Designated,記念物,天然記念物,point,佐藤一斎墓,0.0,城南地区河川流域,,external point-grid sampling,river_flooding,0
official_export_003:33,13103,港区,National,Designated,記念物,天然記念物,point,品川台場,0.0,江東内部河川流域,,external point-grid sampling,river_flooding,0
official_export_003:38,13103,港区,National,Designated,記念物,天然記念物,point,善福寺のイチョウ,0.012,城南地区河川流域,,external point-grid sampling,river_flooding,0–0.5 m
official_export_003:41,13103,港区,National,Designated,記念物,天然記念物,point,高輪大木戸跡,0.52999997,城南地区河川流域,,external point-grid sampling,river_flooding,0.5–3 m
official_export_003:49,13103,港区,National,Designated,記念物,天然記念物,point,東禅寺,0.002,城南地区河川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:0,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の銅鳥居,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:1,13104,新宿区,Unknown,Unknown,未判定,未細分,point,早稲田大学 坪内博士記念演劇博物館,2.0,神田川流域,,external point-grid sampling,river_flooding,0.5–3 m
13104:2,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄栄寺の山門「甘露門」,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:3,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の山門,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:4,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の本殿・幣殿・拝殿,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:5,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院本堂,0.161,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:6,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院七面堂,0.161,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:7,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永心寺本堂,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:8,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永心寺山門,0.01,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:9,13104,新宿区,Unknown,Unknown,未判定,未細分,point,筑土八幡神社の石造鳥居,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:10,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西迎寺の阿弥陀如来座像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:11,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井出世不動尊像,0.059,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:12,13104,新宿区,Unknown,Unknown,未判定,未細分,point,花園神社の唐獅子像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:13,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の三日月不動像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:14,13104,新宿区,Unknown,Unknown,未判定,未細分,point,熊野神社の水鉢,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:15,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院の金剛力士石像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:16,13104,新宿区,Unknown,Unknown,未判定,未細分,point,誓閑寺の梵鐘,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:17,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善国寺の毘沙門天像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:18,13104,新宿区,Unknown,Unknown,未判定,未細分,point,経王寺の大黒天像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:19,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法善寺の七面明神像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:20,13104,新宿区,Unknown,Unknown,未判定,未細分,point,布袋像の水鉢,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:21,13104,新宿区,Unknown,Unknown,未判定,未細分,point,須賀神社の三十六歌仙絵,0.05,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0–0.5 m
13104:22,13104,新宿区,Unknown,Unknown,未判定,未細分,point,馬水槽,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:23,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天龍寺の時の鐘,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:24,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天龍寺のやぐら時計,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:25,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大隈重信銅像,2.0,神田川流域,,external point-grid sampling,river_flooding,0.5–3 m
13104:26,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長善寺(笹寺)のめのう観音像,0.04,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
13104:27,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鬼王神社の水鉢,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:28,13104,新宿区,Unknown,Unknown,未判定,未細分,point,聖徳太子画像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:29,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の観無量寿経曼荼羅,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:30,13104,新宿区,Unknown,Unknown,未判定,未細分,point,七人役者図絵馬,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:31,13104,新宿区,Unknown,Unknown,未判定,未細分,point,阿弥陀三尊来迎図(専福寺),0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:32,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造阿弥陀如来立像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:33,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造地蔵菩薩坐像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:34,13104,新宿区,Unknown,Unknown,未判定,未細分,point,阿弥陀三尊来迎図(光照寺),0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:35,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法然上人画像,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:36,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西光庵の観無量寿経曼荼羅,0.0,神田川流域,,external point-grid sampling,river_flooding,0
13104:37,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天瑞元堤像 谷文晁筆,2.0,神田川流域,,external point-grid sampling,river_flooding,0.5–3 m
13104:38,13104,新宿区,Unknown,Unknown,未判定,未細分,point,謙堂文益像 谷文晁筆,2.0,神田川流域,,external point-grid sampling,river_flooding,0.5–3 m
13104:39,13104,新宿区,Unknown,Unknown,未判定,未細分,point,八大龍王図 谷文晁筆,2.0,神田川流域,,external point-grid sampling,river_flooding,0.5–3 m
13104:40,13104,新宿区,Unknown,Unknown,未判定,未細分,point,十大弟子図 谷文晁筆,2.0,神田川流域,,external point-grid sampling,river_flooding,0.5–3 m
