record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,scenario,risk_value,risk_class,hazard_source,risk_basis,risk_type,risk_type_ja
216,13201,八王子市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,髙尾山の飯盛スギ,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
129,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,天寧寺境域,PLATEAU建築物リスク,,土砂災害特別警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
129,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,天寧寺境域,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
19,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,馬場家御師住宅,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
19,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,馬場家御師住宅,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
20,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,虎柏神社本殿,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,土石流,PLATEAU building risk,landslide,土砂災害
20,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,虎柏神社本殿,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
20,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,虎柏神社本殿,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
official_export_001:140,13205,青梅市,National,Designated,有形文化財,建造物,building_direct,旧宮崎家住宅(旧所在 東京都青梅市成木),PLATEAU建築物リスク,,土砂災害特別警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_001:140,13205,青梅市,National,Designated,有形文化財,建造物,building_direct,旧宮崎家住宅(旧所在 東京都青梅市成木),土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
official_export_001:26,13205,青梅市,National,Designated,有形文化財,建造物,building_direct,観音寺本堂,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_002:191,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,旧吉川英治邸(草思堂)主屋,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,土石流,PLATEAU building risk,landslide,土砂災害
official_export_002:194,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,旧吉川英治邸(草思堂)洋館,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,土石流,PLATEAU building risk,landslide,土砂災害
