record_id,risk_type,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name
official_export_002:100,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,カトリック神田教会聖堂
official_export_002:116,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社神饌所
official_export_002:117,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社西門
official_export_002:118,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社拝殿
official_export_002:119,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社東門
official_export_002:120,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社幣殿
official_export_002:121,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫
official_export_002:122,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿
official_export_002:123,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣
official_export_002:153,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館
official_export_002:181,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎
official_export_002:182,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧山口萬吉邸主屋
official_export_002:183,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧山口萬吉邸門及び塀
official_export_002:287,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング)
official_export_002:297,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋
official_export_002:298,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門
official_export_002:299,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣
official_export_002:359,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁
official_export_002:360,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線四ツ谷跨線橋
official_export_002:384,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館
official_export_002:422,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,松本家住宅主屋
official_export_002:460,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,山本歯科医院
official_export_003:3,seismic,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城跡
official_export_003:4,seismic,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城跡のヒカリゴケ生育地
official_export_003:5,seismic,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城外堀跡
official_export_003:50,seismic,13101,千代田区,National,Designated,記念物,天然記念物,point,常盤橋門跡
93,seismic,13102,中央区,Tokyo Metropolitan,Designated,有形文化財,歴史資料,point,一石橋迷子しらせ石標
131024000000.0,seismic,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル
official_export_001:10,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,永代橋
official_export_001:20,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,勝鬨橋
official_export_001:53,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,清洲橋
official_export_001:99,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,髙島屋東京店
official_export_001:101,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,築地本願寺本堂
official_export_001:112,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,日本銀行本店本館
official_export_001:113,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,日本橋
official_export_001:138,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,三井本館
official_export_001:139,seismic,13102,中央区,National,Designated,有形文化財,建造物,building_direct,三越日本橋本店
official_export_002:53,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,江戸屋店舗兼住宅
official_export_002:59,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,大野屋總本店店舗
official_export_002:138,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧飯田家住宅店舗兼主屋
official_export_002:179,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧宮脇ビル(川崎ブランドデザインビルヂング)
official_export_002:197,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,喜代川店舗
official_export_002:199,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座大野屋店舗兼主屋
official_export_002:200,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座ライオンビル
official_export_002:271,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,新富町躍金楼店舗
official_export_002:305,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,玉置文治郎ビル
official_export_002:396,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,ハリオグラスビル
official_export_002:423,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,繭山龍泉堂店舗
official_export_002:473,seismic,13102,中央区,National,Registered,有形文化財,建造物,building_direct,よし梅芳町亭
official_export_003:20,seismic,13102,中央区,National,Designated,記念物,天然記念物,point,旧浜離宮庭園
205,seismic,13103,港区,Tokyo Metropolitan,Designated,記念物,天然記念物,point,旧細川邸のシイ
245,seismic,13103,港区,Tokyo Metropolitan,Designated,記念物,天然記念物,point,芝東照宮のイチョウ
official_export_001:27,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸
official_export_001:28,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸
official_export_001:29,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸
official_export_001:30,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸
official_export_001:31,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧朝香宮邸
official_export_001:54,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,慶応義塾図書館
official_export_001:55,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,慶応義塾三田演説館
official_export_001:82,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,瑞聖寺大雄宝殿
official_export_001:93,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,増上寺三解脱門
official_export_001:98,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧台徳院霊廟惣門
official_export_001:106,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,旧東宮御所(迎賓館赤坂離宮)
official_export_001:127,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,武家屋敷門
official_export_001:142,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,明治学院インブリー館
official_export_001:194,seismic,13103,港区,National,Designated,有形文化財,建造物,building_direct,有章院(徳川家継)霊廟二天門
official_export_002:58,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大倉集古館陳列館
official_export_002:60,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮表門
official_export_002:61,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室葵
official_export_002:62,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室桂
official_export_002:63,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室守貧庵
official_export_002:64,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室如庵写
official_export_002:65,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室山吹
official_export_002:66,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮中門
official_export_002:67,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮不老門
official_export_002:68,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮塀
official_export_002:126,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,菊池寛実記念智美術館別館
official_export_002:198,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,キリスト友会フレンズセンター
official_export_002:213,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,廣度院表門及び練塀
official_export_002:222,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,国際文化会館本館
official_export_002:256,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,常行院納骨堂
official_export_002:260,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,常照院本堂内陣
official_export_002:267,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,心光院表門
official_export_002:268,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,心光院本堂
official_export_002:345,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,東京水産大学雲鷹丸
official_export_002:356,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,東京タワー
official_export_002:365,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,虎ノ門大坂屋砂場店舗
official_export_002:415,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,堀商店
official_export_002:425,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘蔵
official_export_002:426,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘主屋
official_export_002:427,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘洋館
official_export_002:435,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,妙定院上土蔵
official_export_002:436,seismic,13103,港区,National,Registered,有形文化財,建造物,building_direct,妙定院熊野堂
official_export_003:1,seismic,13103,港区,National,Designated,記念物,天然記念物,point,浅野長矩墓および赤穂義士墓
official_export_003:11,seismic,13103,港区,National,Designated,記念物,天然記念物,point,荻生徂徠墓
official_export_003:17,seismic,13103,港区,National,Designated,記念物,天然記念物,point,旧芝離宮庭園
official_export_003:19,seismic,13103,港区,National,Designated,記念物,天然記念物,point,旧新橋停車場跡及び高輪築堤跡
official_export_003:29,seismic,13103,港区,National,Designated,記念物,天然記念物,point,佐藤一斎墓
official_export_003:33,seismic,13103,港区,National,Designated,記念物,天然記念物,point,品川台場
official_export_003:38,seismic,13103,港区,National,Designated,記念物,天然記念物,point,善福寺のイチョウ
official_export_003:41,seismic,13103,港区,National,Designated,記念物,天然記念物,point,高輪大木戸跡
official_export_003:49,seismic,13103,港区,National,Designated,記念物,天然記念物,point,東禅寺
13104:0,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の銅鳥居
13104:1,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,早稲田大学 坪内博士記念演劇博物館
13104:2,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄栄寺の山門「甘露門」
13104:3,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の山門
13104:4,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の本殿・幣殿・拝殿
13104:5,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院本堂
13104:6,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院七面堂
13104:7,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永心寺本堂
13104:8,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永心寺山門
13104:9,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,筑土八幡神社の石造鳥居
13104:10,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西迎寺の阿弥陀如来座像
13104:11,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井出世不動尊像
13104:12,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,花園神社の唐獅子像
13104:13,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の三日月不動像
13104:14,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,熊野神社の水鉢
13104:15,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院の金剛力士石像
13104:16,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,誓閑寺の梵鐘
13104:17,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善国寺の毘沙門天像
13104:18,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,経王寺の大黒天像
13104:19,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法善寺の七面明神像
13104:20,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,布袋像の水鉢
13104:21,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,須賀神社の三十六歌仙絵
13104:22,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,馬水槽
13104:23,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天龍寺の時の鐘
13104:24,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天龍寺のやぐら時計
13104:25,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大隈重信銅像
13104:26,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長善寺(笹寺)のめのう観音像
13104:27,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鬼王神社の水鉢
13104:28,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,聖徳太子画像
13104:29,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の観無量寿経曼荼羅
13104:30,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,七人役者図絵馬
13104:31,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,阿弥陀三尊来迎図(専福寺)
13104:32,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造阿弥陀如来立像
13104:33,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造地蔵菩薩坐像
13104:34,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,阿弥陀三尊来迎図(光照寺)
13104:35,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法然上人画像
13104:36,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西光庵の観無量寿経曼荼羅
13104:37,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天瑞元堤像 谷文晁筆
13104:38,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,謙堂文益像 谷文晁筆
13104:39,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,八大龍王図 谷文晁筆
13104:40,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,十大弟子図 谷文晁筆
13104:41,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永福寺の銅造大日如来坐像
13104:42,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永福寺の銅造地蔵菩薩半跏像
13104:43,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,済松寺の加藤文麗筆絵画作品
13104:44,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,谷文晁の絵
13104:45,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月見岡八幡神社の鰐口
13104:46,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の軍配団扇
13104:47,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林光寺の高僧先達連座画像
13104:48,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造十一面観音坐像
13104:49,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院の梵鐘
13104:50,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,宝泉寺の梵鐘
13104:51,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,銅造地蔵菩薩半跏像
13104:52,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,正受院の梵鐘
13104:53,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西迎寺の梵鐘
13104:54,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄栄寺の梵鐘
13104:55,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善慶寺の梵鐘
13104:56,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法雲寺の梵鐘
13104:57,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,圓照寺の梵鐘
13104:58,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,薬王院の梵鐘
13104:59,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西應寺の梵鐘
13104:60,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,光照寺の涅槃図
13104:61,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長安寺の六地蔵塔
13104:62,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺墓地出土品
13104:63,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,小銅鐸
13104:64,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,隆起線文系土器
13104:65,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,下落合横穴墓出土品
13104:66,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,一行院墓地出土品
13104:67,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中村家文書
13104:68,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林光寺の歴代宗主銘
13104:69,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院文書
13104:70,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社文書
13104:71,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長厳寺文書
13104:72,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,済松寺文書
13104:73,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林光寺文書
13104:74,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大聖院文書
13104:75,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法身寺文書
13104:76,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,旭地蔵
13104:77,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,子供合埋碑
13104:78,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,式三番奉納額
13104:79,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,旧鈴法寺江戸番所資料
13104:80,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,空印の石手水鉢
13104:81,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,堀部武庸加功遺跡之碑
13104:82,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の日蓮聖人六百遠忌供養塔
13104:83,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の切支丹灯籠
13104:84,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,諸国旅人供養碑
13104:85,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,服部半蔵の槍
13104:86,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,駿馬塚の碑
13104:87,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月桂寺の切支丹灯籠
13104:88,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造七面明神半跏像及び宮殿
13104:89,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造妙見菩薩立像及び宮殿
13104:90,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造諏訪大明神坐像及び宮殿
13104:91,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の几号水準点(水鉢台座)
13104:93,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,自証院の阿弥陀三尊種子板碑
13104:94,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,来迎寺の庚申塔
13104:95,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,正受院の奪衣婆像
13104:96,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の備射祭絵馬
13104:97,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の分木
13104:98,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,自性院の私年号板碑
13104:99,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月見岡八幡神社の庚申塔
13104:100,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,狛犬型庚申塔
13104:101,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の閻魔像
13104:102,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の奪衣婆像
13104:103,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,葛谷御霊神社の力石
13104:104,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,成子天神社の力石
13104:105,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,雨乞のむしろ旗
13104:106,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の力石
13104:107,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,筑土八幡神社の庚申塔
13104:108,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,尺八「放下着」一式ならびに普化尺八伝授関連資料
13104:109,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善国寺の石虎
13104:110,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の狛犬
13104:111,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,巴講睦の獅子頭
13104:112,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,一行院の板碑
13104:113,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,塞神三柱の塔
13104:114,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,全龍寺の庚申塔
13104:115,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,慈雲山観音寺の庚申塔
13104:116,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,下落合二丁目の庚申塔
13104:117,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,旧源兵衛村の庚申塔
13104:118,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の題目塔
13104:119,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,熊野神社の狛犬
13104:120,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,高田馬場の流鏑馬
13104:121,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の備射祭
13104:122,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,葛谷御霊神社の備謝祭
13104:123,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,丸藤宮元講社の富士講行事
13104:124,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,戸塚囃子
13104:125,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,萩原社中里神楽
13104:126,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,上落合餅つき唄
13104:127,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鉄砲組百人隊行列
13104:128,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,高松喜六の墓
13104:129,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,服部半蔵の墓
13104:130,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,小泉八雲旧居跡
13104:131,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,塙保己一の墓
13104:132,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,山県大弐の墓
13104:133,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,十二社の碑
13104:134,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,松井須磨子の墓
13104:135,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,源清麿の墓
13104:136,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,尾崎紅葉旧居跡
13104:137,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,田村虎蔵旧居跡
13104:138,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,恋川春町の墓
13104:139,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月岡芳年の墓
13104:140,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄瑠璃坂の仇討跡
13104:141,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,国産飛行機発祥の地
13104:142,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大久保の犬御用屋敷跡
13104:143,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,三遊亭円朝旧居跡
13104:144,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,夏目漱石誕生の地
13104:145,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,夏目漱石終焉の地
13104:146,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,便々館湖鯉鮒狂歌碑
13104:147,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永井荷風旧居跡
13104:148,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,岡崎三郎信康供養塔
13104:149,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,榊原鍵吉の墓
13104:150,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,平秩東作の墓
13104:151,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,二葉亭四迷旧居跡
13104:152,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大和田建樹終焉の地
13104:153,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,有島武郎旧居跡
13104:154,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,島村抱月終焉の地 (芸術倶楽部跡)
13104:155,seismic,13104,新宿区,Unknown,Unknown,未判定,未細分,point,内藤正勝の墓
