record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,river,risk_type,risk_type_ja,hazard_source,scenario,depth_class,depth_rank,depth_class_native,depth_min_m,depth_max_m,risk_basis
132152100036,13215,国立市,Municipal,Registered,有形文化財,未細分,building_direct,滝乃川学園礼拝堂,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
132152100040,13215,国立市,Municipal,Registered,有形文化財,未細分,building_direct,滝乃川学園鐘楼附鐘,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
132152100072,13215,国立市,Municipal,Registered,有形文化財,未細分,point,久保の地蔵菩薩像,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
132152100076,13215,国立市,Municipal,Registered,有形文化財,未細分,point,五智如来(像塔・文字塔),多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
132152100079,13215,国立市,Municipal,Registered,有形文化財,未細分,point,常夜燈(青柳),多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
132152100091,13215,国立市,Municipal,Registered,有形文化財,未細分,point,アップライトピアノ,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
132152100095,13215,国立市,Municipal,Registered,有形文化財,未細分,point,石橋供養塔(青柳),多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
132152100096,13215,国立市,Municipal,Registered,有形文化財,未細分,point,石橋供養塔(矢川橋),多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
132152100098,13215,国立市,Municipal,Registered,有形文化財,未細分,point,馬頭観音塔(青柳・嘉永二年在銘),多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
132152100101,13215,国立市,Municipal,Registered,有形文化財,未細分,point,手水石(安政三年在銘),多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_002:300,13215,国立市,National,Registered,有形文化財,建造物,building_direct,滝乃川学園本館,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_002:20,13218,福生市,National,Registered,有形文化財,建造物,building_direct,石川酒造雑蔵,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:21,13218,福生市,National,Registered,有形文化財,建造物,building_direct,石川酒造新蔵,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:22,13218,福生市,National,Registered,有形文化財,建造物,building_direct,石川酒造長屋門,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:23,13218,福生市,National,Registered,有形文化財,建造物,building_direct,石川酒造文庫蔵,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:24,13218,福生市,National,Registered,有形文化財,建造物,building_direct,石川酒造本蔵,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:25,13218,福生市,National,Registered,有形文化財,建造物,building_direct,石川酒造向蔵,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
192,13219,狛江市,Tokyo Metropolitan,Designated,記念物,旧跡,point,玉川碑跡,多摩川,river_flooding,洪水浸水想定区域,A31a 多摩川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
